"userid","variant","age","install_source","device_linked","week","hit_streak","claimed_reward","exercise_mins","days_exercised"
415,"Increased Rewards",41,"organic","Garmin",2021-03-01,1,0,658,7
415,"Increased Rewards",41,"organic","Garmin",2021-03-08,1,1,188,4
415,"Increased Rewards",41,"organic","Garmin",2021-03-15,1,1,652,7
415,"Increased Rewards",41,"organic","Garmin",2021-03-22,1,1,220,4
463,"Control",15,"referred","Applewatch",2021-03-01,1,1,673,7
463,"Control",15,"referred","Applewatch",2021-03-08,0,0,45,1
463,"Control",15,"referred","Applewatch",2021-03-15,1,0,150,3
463,"Control",15,"referred","Applewatch",2021-03-22,1,0,818,7
179,"Increased Rewards",20,"organic","Applewatch",2021-03-01,1,0,255,5
179,"Increased Rewards",20,"organic","Applewatch",2021-03-08,1,0,396,7
179,"Increased Rewards",20,"organic","Applewatch",2021-03-15,1,0,572,7
179,"Increased Rewards",20,"organic","Applewatch",2021-03-22,1,0,465,7
526,"Increased Rewards",35,"referred","Garmin",2021-03-01,1,0,326,7
526,"Increased Rewards",35,"referred","Garmin",2021-03-08,1,0,182,4
526,"Increased Rewards",35,"referred","Garmin",2021-03-15,1,1,150,3
526,"Increased Rewards",35,"referred","Garmin",2021-03-22,1,0,500,7
195,"Increased Rewards",16,"referred","Applewatch",2021-03-01,1,1,319,6
195,"Increased Rewards",16,"referred","Applewatch",2021-03-08,1,0,301,6
195,"Increased Rewards",16,"referred","Applewatch",2021-03-15,1,0,383,7
195,"Increased Rewards",16,"referred","Applewatch",2021-03-22,1,0,472,7
938,"Control",23,"organic","Applewatch",2021-03-01,1,0,566,7
938,"Control",23,"organic","Applewatch",2021-03-08,0,0,53,1
938,"Control",23,"organic","Applewatch",2021-03-15,1,0,236,5
938,"Control",23,"organic","Applewatch",2021-03-22,1,0,386,7
818,"Increased Rewards",17,"paid_ad","Applewatch",2021-03-01,1,1,268,5
818,"Increased Rewards",17,"paid_ad","Applewatch",2021-03-08,1,0,557,7
818,"Increased Rewards",17,"paid_ad","Applewatch",2021-03-15,1,0,509,7
818,"Increased Rewards",17,"paid_ad","Applewatch",2021-03-22,1,1,232,5
118,"Increased Rewards",35,"paid_ad","Applewatch",2021-03-01,1,0,693,7
118,"Increased Rewards",35,"paid_ad","Applewatch",2021-03-08,1,0,536,7
118,"Increased Rewards",35,"paid_ad","Applewatch",2021-03-15,1,1,380,7
118,"Increased Rewards",35,"paid_ad","Applewatch",2021-03-22,1,0,349,7
299,"Increased Rewards",33,"referred","Applewatch",2021-03-01,1,1,155,3
299,"Increased Rewards",33,"referred","Applewatch",2021-03-08,1,1,266,5
299,"Increased Rewards",33,"referred","Applewatch",2021-03-15,1,0,225,4
299,"Increased Rewards",33,"referred","Applewatch",2021-03-22,0,0,117,2
229,"Control",33,"referred","Applewatch",2021-03-01,0,0,73,1
229,"Control",33,"referred","Applewatch",2021-03-08,1,1,150,3
229,"Control",33,"referred","Applewatch",2021-03-15,1,0,168,3
229,"Control",33,"referred","Applewatch",2021-03-22,1,1,368,7
244,"Control",33,"organic","FitBit",2021-03-01,1,0,150,3
244,"Control",33,"organic","FitBit",2021-03-08,0,0,39,1
244,"Control",33,"organic","FitBit",2021-03-15,1,0,208,4
244,"Control",33,"organic","FitBit",2021-03-22,1,0,421,7
14,"Increased Rewards",34,"referred","Applewatch",2021-03-01,1,0,761,7
14,"Increased Rewards",34,"referred","Applewatch",2021-03-08,1,0,389,7
14,"Increased Rewards",34,"referred","Applewatch",2021-03-15,1,0,213,4
14,"Increased Rewards",34,"referred","Applewatch",2021-03-22,1,0,150,3
374,"Increased Rewards",35,"referred","Applewatch",2021-03-01,1,1,150,3
374,"Increased Rewards",35,"referred","Applewatch",2021-03-08,1,0,639,7
374,"Increased Rewards",35,"referred","Applewatch",2021-03-15,1,0,346,7
374,"Increased Rewards",35,"referred","Applewatch",2021-03-22,1,0,609,7
665,"Control",10,"organic","Applewatch",2021-03-01,1,0,605,7
665,"Control",10,"organic","Applewatch",2021-03-08,0,0,164,3
665,"Control",10,"organic","Applewatch",2021-03-15,1,0,150,3
665,"Control",10,"organic","Applewatch",2021-03-22,1,0,150,3
